x positions (m)	Enthalpy values (J/kg)	Velocity values (m/s)	Density values (kg/m^3)	Pressure (Pa)	Temperature (K)	Mach number values
-0.025	7134480.270089448	379.645775094707	3.4273968868136864	4755706.404693192	4467.84729069032	0.2931396066452038
-0.025	7127403.702140735	397.84928106594185	3.413445886203093	4732255.425371516	4464.6782499617275	0.30732914358930963
-0.025	7120327.134192022	415.2555675028507	3.399538963633214	4708900.596516918	4461.5070962493755	0.3209149115071264
-0.0244	7113250.566243309	431.9610193519093	3.3856758162611174	4685639.240698231	4458.333768740555	0.3339706825704715
-0.02365	7106173.998294596	448.0440359350479	3.3718563583064944	4662471.8458137335	4455.158322995745	0.3465564657421869
-0.0229	7099097.430345883	463.5694058438201	3.358080891799732	4639398.2327157855	4451.980707674738	0.3587216664762586
-0.0223	7092020.862397169	478.59140185738835	3.3443496314530647	4616419.123595603	4448.801166814721	0.370507816121247
-0.0217	7084944.294448456	493.15602584703976	3.330661468702385	4593532.829794711	4445.619368275608	0.3819500549706574
-0.0211	7077867.726499743	507.30267269813595	3.317016670919486	4570739.0786358155	4442.435485645573	0.39307842658323994
-0.0205	7070791.158551029	521.065387090814	3.303415632023829	4548038.254376936	4439.2495907469565	0.40391896411393935
-0.02005	7063714.590602316	534.4738286591082	3.2898572581925607	4525429.590673673	4436.061522827096	0.4144942748461155
-0.01945	7056638.022653603	547.5540242012214	3.2763422022188298	4502912.536801266	4432.871381709251	0.42482419680224215
-0.019	7049561.454704889	560.3289616969478	3.2628708343680306	4480488.104420077	4429.679299956563	0.4349260867725904
-0.01855	7042484.886756176	572.8190649880688	3.249441114513584	4458153.447762585	4426.484910951989	0.44481583059280194
-0.0181	7035408.318807463	585.0425771781328	3.2360545336921196	4435910.246810743	4423.288538147004	0.454507168482975
-0.0178	7028331.75085875	597.0158733305651	3.2227108613191007	4413758.511322031	4420.0902076925795	0.46401249390116445
-0.01735	7021255.182910036	608.7537177759863	3.209409235505918	4391696.294802607	4416.889635113309	0.47334309555326853
-0.0169	7014178.614961323	620.2694775688315	3.1961498400765134	4369723.6502081705	4413.6869324230165	0.4825093310731181
-0.0166	7007102.04701261	631.575300895259	3.1829330293800155	4347841.333220214	4410.482254464622	0.49152016908538404
-0.01615	7000025.479063896	642.6822672194751	3.169758527647996	4326048.701585644	4407.2756017322645	0.5003841118414838
-0.01585	6992948.9111151835	653.6005144549617	3.1566258182549816	4304344.824231117	4404.066795295867	0.5091089296545033
-0.01555	6985872.3431664705	664.3393473167283	3.143534634742423	4282728.799747245	4400.855898588124	0.5177016898042419
-0.01525	6978795.775217757	674.9073301503284	3.13048539012671	4261201.65678945	4397.642929828922	0.5261688866425969
-0.01495	6971719.207269044	685.3123668722683	3.117477949210449	4239763.071834399	4394.427975760222	0.5345165120503222
-0.0145	6964642.639320331	695.5617701437424	3.1045113565307405	4218411.66607418	4391.210901031039	0.5427501762223047
-0.0142	6957566.071371618	705.6623214986912	3.0915866319356993	4197147.666638407	4387.991821016704	0.5508748587284698
-0.0139	6950489.503422904	715.6203238312548	3.0787031799380182	4175971.8241280117	4384.77072112263	0.5588953497778243
-0.01375	6943412.935474191	725.4416473967951	3.0658608218844243	4154882.009548016	4381.547608243776	0.566816489367589
-0.01345	6936336.367525478	735.1317702801327	3.0530593693862595	4133878.037662399	4378.322315979026	0.5746420452917255
-0.01315	6929259.799576764	744.6958141232094	3.040298955829702	4112961.4421917023	4375.0952550008205	0.5823759337389894
-0.01285	6922183.231628051	754.1385757737471	3.027579141477744	4092130.382573801	4371.8660163991835	0.5900219329243565
-0.01255	6915106.663679338	763.4645554100607	3.014900183339505	4071384.3359636446	4368.634818042942	0.5975833874533334
-0.0124	6908030.095730624	772.6779816100038	3.002261784779899	4050724.890476249	4365.401686098168	0.6050634307202861
-0.0121	6900953.527781911	781.7828337603323	2.9896634551055206	4030149.483595357	4362.166430344094	0.6124652655574646
-0.0118	6893876.959833198	790.7828621434339	2.9771057114707	4009659.1250766586	4358.929344236504	0.6197913993452985
-0.01165	6886800.391884485	799.6816059890256	2.9645877192230174	3989252.83787162	4355.690233597608	0.6270448955010374
-0.01135	6879723.823935771	808.4824097372898	2.9521102510465793	3968930.658046788	4352.449138941508	0.6342281429136042
-0.0112	6872647.255987058	817.1884377253762	2.9396721105767125	3948691.535073536	4349.206115875213	0.6413434836311782
-0.0109	6865570.688038345	825.8026874801673	2.927274058622518	3928536.9011363043	4345.9612714692275	0.648393145743708
-0.01075	6858494.1200896315	834.3280017756174	2.9149158184768944	3908464.914942255	4342.714501174118	0.6553793681895914
-0.01045	6851417.552140919	842.7670795921733	2.902596557208499	3888475.3795191487	4339.465772511456	0.6623042377512043
-0.0103	6844340.984192206	851.1224860980625	2.8903167521339936	3868568.9188048714	4336.215228794787	0.6691695844605234
-0.01015	6837264.416243492	859.3966617570575	2.8780762306612786	3848744.1320839305	4332.962853533911	0.6759772077790411
-0.00985	6830187.848294779	867.5919306543833	2.8658745362580773	3829000.7302744132	4329.70850026742	0.6827292590642908
-0.0097	6823111.280346066	875.7105081212776	2.8537122447580474	3809339.57516663	4326.452503494176	0.6894269207210878
-0.00955	6816034.712397353	883.7545077290707	2.8415881372956906	3789759.0533218663	4323.194653180908	0.6960720512936129
-0.00925	6808958.144448639	891.7259477153729	2.8295029223057204	3770259.5742195244	4319.935056780304	0.7026661632681899
-0.0091	6801881.576499926	899.626756897718	2.8174560932326718	3750840.6401728056	4316.673726968852	0.7092105832427206
-0.00895	6794805.008551213	907.4587801237761	2.8054476812920734	3731501.8530093883	4313.410687454377	0.7157066699973357
-0.00865	6787728.440602499	915.223783301745	2.7934774662093482	3712242.7214436573	4310.145981965989	0.7221560933143069
-0.0085	6780651.872653786	922.9234580497916	2.7815453105630423	3693063.626584062	4306.879649108607	0.7285597995981946
-0.00835	6773575.304705073	930.5594259992273	2.769651240589464	3673963.934668187	4303.611739416022	0.7349190886242513
-0.0082	6766498.73675636	938.1332427824085	2.757794695291662	3654942.646064641	4300.342176131136	0.7412353199553618
-0.0079	6759422.168807646	945.6464017331558	2.745975687268151	3636000.2301008	4297.070949784425	0.7475094948764223
-0.00775	6752345.600858933	953.1003373246131	2.7341942048457044	3617136.131416308	4293.79827989486	0.75374261350531
-0.0076	6745269.03291022	960.4964283669758	2.7224500908789344	3598349.6341615478	4290.524117611216	0.759935835667921
-0.00745	6738192.464961506	967.8360009852624	2.7107431973394034	3579641.433170018	4287.248560987458	0.766090055552254
-0.0073	6731115.897012793	975.1203313953467	2.69907309857735	3561010.0023837434	4283.971362684272	0.7722063613292025
-0.00715	6724039.3290640805	982.3506484947198	2.687440023386455	3542456.0139210243	4280.6929817863165	0.7782857920137166
-0.007	6716962.761115367	989.5281362828571	2.675843746948218	3523978.6841524323	4277.41313005469	0.7843288688804527
-0.0067	6709886.193166654	996.6539361246964	2.664284096822086	3505577.7703168034	4274.131976926356	0.7903367532229667
-0.00655	6702809.625217941	1003.7291488694927	2.6527606578515663	3487252.718655379	4270.849480528971	0.7963101748877007
-0.0064	6695733.057269228	1010.7548368361649	2.641273505568415	3469003.69994652	4267.565651800111	0.8022500138354925
-0.00625	6688656.489320514	1017.7320256752905	2.629822909081687	3450829.794111235	4264.280660520217	0.8081569176824588
-0.0061	6681579.921371801	1024.661706116978	2.6184081221836646	3432731.9535258273	4260.99449143728	0.8140317131997348
-0.00595	6674503.353423088	1031.5448356130635	2.607029362287039	3414708.5240955716	4257.707163069623	0.8198751990305009
-0.0058	6667426.785474374	1038.3823398813222	2.5956861989625506	3396759.489166478	4254.4186711139055	0.8256880635915128
-0.00565	6660350.217525661	1045.1751143587546	2.5843785211107164	3378885.199666033	4251.129075634947	0.8314708342663475
-0.0055	6653273.649576948	1051.9240255704124	2.573106769726274	3361084.633332671	4247.838502794786	0.837224205063535
-0.00535	6646197.081628234	1058.6299124196753	2.561870286723468	3343357.9061722117	4244.546775974587	0.8429490151850595
-0.0052	6639120.513679521	1065.2935874054228	2.55066903969555	3325704.8984575355	4241.254178305103	0.8486455173068338
-0.00505	6632043.945730808	1071.9158377711103	2.5395028822807393	3308125.1283762897	4237.9606003254	0.8543146895839633
-0.0049	6624967.377782095	1078.4974265903313	2.528371629649425	3290618.0864385692	4234.666037442734	0.8599569824648949
-0.00475	6617890.809833381	1085.03909379312	2.517275368829724	3273183.6051648995	4231.37068016386	0.8655727981449979
-0.0046	6610814.241884668	1091.5415571368874	2.506214020958147	3255822.041155611	4228.0745047987475	0.8711628052550272
-0.00445	6603737.673935955	1098.0055131256158	2.4951870915958634	3238532.095596722	4224.777448400503	0.8767276556480388
-0.0043	6596661.1059872415	1104.4316378806227	2.4841946608480265	3221313.52515288	4221.479581907584	0.8822677408554283
