x positions (m)	Enthalpy values (J/kg)	Velocity values (m/s)	Density values (kg/m^3)	Pressure (Pa)	Temperature (K)	Mach number values
-0.0001	6363379.877261599	1298.588349017101	2.1404970086989703	2692316.541086801	4112.558419770651	1.0536938785817915
-0.00025	6370586.422988961	1293.0269172558762	2.150587587830349	2707577.380711535	4115.923378424075	1.0486647063220762
-0.00025	6485891.154626771	1200.545353359304	2.3165473108964205	2960963.020960885	4169.784992841129	0.966105004768176
-0.0004	6377792.968716325	1287.4414616958347	2.1607110895465222	2722904.9837106415	4119.288671975637	1.0436212639668303
-0.0004	6478684.608899408	1206.5331478775631	2.3059230639640003	2944609.534715195	4166.418724871576	0.9713916018696407
-0.00055	6471478.063172045	1212.4913724979933	2.295332681095994	2928325.9259744	4163.052264207948	0.9766599609933144
-0.0007	6464271.517444681	1218.42046102189	2.284776284025023	2912112.3686367203	4159.68573919489	0.9819102146390168
-0.00085	6406619.151625777	1264.853015758987	2.2015340384353013	2784885.7437455896	4132.752440265507	1.0233025943892782
-0.00085	6457064.9717173185	1224.3208367464472	2.2742536884434936	2895968.146685193	4156.3190619725265	0.9871429722853456
-0.001	6413825.69735314	1259.1425892327989	2.2118226611901135	2800549.76033034	4136.118870503841	1.018185035820714
-0.00115	6421032.243080503	1253.4061466919457	2.2221442321240277	2816281.5621557026	4139.485468156721	1.013052036319555
-0.00115	6442651.880262593	1236.0370925667935	2.253309185163391	2863886.866305736	4149.58550719931	0.9975566623398211
-0.0013	6428238.788807866	1247.6433292854274	2.2324993171291423	2832081.758654633	4142.852093164422	1.007903158328758
-0.0013	6435445.334535229	1241.8537698359255	2.2428876520578185	2847950.3455671906	4146.21884443247	1.002738009916207
-0.0016	6449858.425989956	1230.1929128174354	2.2637647314728326	2879893.2826536354	4152.952351900855	0.9923582985013728
-0.00175	6399412.605898414	1270.5377770571524	2.1912787953081243	2769289.5933612026	4129.3861771651245	1.0284044984041045
-0.0019	6392206.060171051	1276.1972161010444	2.1810565235583925	2753760.78927695	4126.020140978085	1.033491536194111
-0.00205	6384999.514443688	1281.8316682929867	2.170867403892502	2738299.505171238	4122.654302985357	1.0385636342406612
-0.00235	6493097.700354134	1194.5275442692355	2.3272057998115403	2977386.599281541	4173.151060823385	0.960799626566678
-0.0025	6356173.331534236	1304.1260643272515	2.1304391020063798	2677122.2194174817	4109.193767161599	1.058709125596606
-0.0025	6500304.2460814975	1188.4792646753087	2.3378982157383676	2993880.74419732	4176.516859765029	0.9554752280999033
-0.00265	6348966.785806872	1309.6403640360256	2.120413988703924	2661994.260997155	4105.829493656131	1.0637108271509952
-0.00265	6507510.79180886	1182.400046984284	2.34862489972469	3010445.740355083	4179.882443026168	0.9501315555780941
-0.0028	6341760.240079509	1315.1315426858027	2.1104214386827462	2646932.049564568	4102.465650113567	1.0686992367407566
-0.0028	6514717.337536223	1176.2894115198485	2.359385916910203	3027081.547489935	4183.247631368297	0.944768131814005
-0.00295	6327347.148624783	1326.0456845360159	2.090533985685673	2617005.5302022574	4095.739397867611	1.0786364213618076
-0.00295	6529130.428990949	1163.9719054789336	2.3810115497453834	3060567.0442680987	4189.977014687899	0.9339804942291275
-0.0031	6536336.974718313	1157.7640110530006	2.391876215360738	3077417.0555977016	4193.341077316819	0.9285556004270937
-0.00325	6305727.511442694	1342.2505100914545	2.0609458728012657	2572605.78317324	4085.653608706581	1.0934473641353792
-0.00325	6543543.520445676	1151.5226501614316	2.4027756765016686	3094339.4863361297	4196.704747327782	0.9231093814054288
-0.0034	6298520.965715331	1347.608816866191	2.0511476753315234	2557935.8909272784	4082.2927519817927	1.098359786328636
-0.0034	6550750.066173038	1145.2472756483994	2.4137100562375355	3111333.8247892433	4200.067915786981	0.9176413190550563
-0.00355	6291314.419987968	1352.9459023738611	2.041381786536809	2543330.7755727316	4078.9326113916513	1.1032602228167339
-0.00355	6557956.611900402	1138.9373252841235	2.424679074691316	3128400.8285961114	4203.43046265973	0.9121514122800478
-0.0037	6565163.157627765	1132.5922211769898	2.43568352114827	3145540.1604877952	4206.792542772858	0.9066386931679643
-0.00385	6269694.782805879	1368.832308617239	2.0122770588101453	2499901.8341096276	4068.8559595781135	1.1178919265279297
-0.00385	6572369.703355128	1126.2113691558534	2.4467228766379128	3162752.8147036945	4210.15397229596	0.9011029957983737
-0.004	6262488.237078516	1374.0869625206135	2.0026396147794894	2485553.7208875627	4065.498391377517	1.122746498045083
-0.0043	6240868.599896426	1389.731720488996	1.9739187449181061	2442890.843740898	4055.4302610212003	1.137244768815584
-0.00445	6233662.054169063	1394.9076479781845	1.9644089802097848	2428796.55195159	4052.0757677923393	1.1420563522188159
-0.00475	6212042.416986974	1410.3214600764643	1.9360701381565515	2386891.8562461054	4042.0174710665533	1.1564293693307957
-0.0049	6204835.871259611	1415.4220968343457	1.92668735099256	2373048.8295132807	4038.6664547901983	1.1612004626424184
-0.0052	6183216.234077522	1430.6148980669516	1.898728428191684	2331893.351952781	4028.618897005443	1.1754558567649316
-0.00535	6176009.688350159	1435.6434369389358	1.889471896730258	2318298.6873094803	4025.271622305745	1.1801888858421519
-0.00565	6154390.051168069	1450.624469802581	1.861891393895731	2277884.5325619	4015.2359334040525	1.1943336277295822
-0.00565	6658848.252083485	1046.6111744861066	2.5819833945009867	3375100.8067413736	4250.430725079044	0.8326943375162643
-0.0058	6147183.505440706	1455.5838841663317	1.8527606346662395	2264535.4846066535	4011.892725863342	1.1990309512341428
-0.0058	6666054.797810848	1039.7027744045229	2.59349134996359	3393288.2515114443	4253.781044538937	0.8268114062362504
-0.00595	6132770.41398598	1465.4523624991016	1.8345932849500273	2238020.8515888364	4005.209601357053	1.2083998661493283
-0.00595	6673261.343538211	1032.748162743336	2.605035862709633	3411552.6950939763	4257.130071778003	0.8208975958178265
-0.0061	6125563.868258617	1470.3617643998105	1.8255565724910194	2224854.5319929137	4001.86968306262	1.2130716391180538
-0.0061	6680467.8892655745	1025.7463995525447	2.616617598185855	3429894.313613211	4260.478000958163	0.8149520035997274
-0.00625	6687674.434992937	1018.6965125788362	2.628236664737181	3448314.037206038	4263.824703235793	0.8089740396271994
-0.0064	6103944.231076527	1484.9925900734665	1.7986340760365138	2185718.1212431714	3991.8567094615855	1.2270382656951626
-0.0064	6694880.9807203	1011.597495689643	2.6398931542845916	3466811.3844107515	4267.1702123202285	0.8029629495695428
-0.00655	6096737.6853491645	1489.8376032399735	1.7897222237396453	2172793.046541768	3988.521378140527	1.2316779826573663
-0.00685	6075118.048167076	1504.279016137633	1.7631737286160791	2134376.148146999	3978.522443735214	1.2455508114730098
-0.00715	6053498.410984986	1518.5831003788317	1.736904674378165	2096493.8902890366	3968.534541327811	1.2593568901570944
-0.0073	6046291.865257623	1523.3212806925899	1.7282103293583155	2083984.4920100379	3965.2077479638947	1.2639446640481158
-0.0073	6730913.709357115	975.3276557198236	2.6987402966550964	3560479.065217061	4283.877804849177	0.7723805462978889
-0.00745	6738120.255084478	967.9106077304872	2.710623777411074	3579450.848181435	4287.2151053515445	0.7661526110763052
-0.0076	6024672.228075534	1537.4482100464684	1.7023128332158988	2046808.2606466028	3955.235080465304	1.2776662838252735
-0.0079	6003052.590893445	1551.446509854358	1.6766932922152165	2010156.546978865	3945.2742238948344	1.2913276430112623
-0.00805	5995846.045166082	1556.0846263600172	1.668214986626084	1998055.1080168993	3941.9565967849258	1.2958685232556988
-0.0082	5981432.953711355	1565.3196310349676	1.6513506599329275	1974025.2087708951	3935.3254903134284	1.3049313920658285
-0.0082	6766946.437993931	937.6558956985747	2.758543720851439	3656144.025900558	4300.549024633803	0.7408370177566016
-0.00835	5967019.862256629	1574.5004700580114	1.6346092768174265	1950224.5517941185	3928.6998302752436	1.3139696390893159
-0.0085	5959813.316529267	1579.0708729083774	1.6262844651313988	1938409.6540880017	3925.3890617534585	1.3184798546757284
-0.0085	6781359.529448657	922.1563836079232	2.782736757425997	3694978.1226970986	4307.206368134843	0.7279214327832161
-0.00865	5945400.22507454	1588.1722213214402	1.6097267296944875	1914950.574605864	3918.7717815809106	1.3274827086060954
-0.0088	5938193.679347177	1592.7033923589802	1.601493643857274	1903305.8658033125	3915.465271250972	1.3319754938445276
-0.0091	5916574.042165088	1606.2202122984204	1.576977522759826	1868709.4678524376	3905.554327208664	1.345420518913479
-0.0091	6802979.166630747	898.4058779107938	2.8193224467188833	3753847.5284869773	4317.179750017992	0.7081985908821614
-0.0094	5894954.404982999	1619.6242294928043	1.55273519075642	1834616.130758335	3895.6564707261396	1.3588168988634055
-0.0097	5873334.7678009095	1632.918221811594	1.5287658190393763	1801021.2889202456	3885.771868408017	1.3721670764636362
-0.0097	6824598.803812835	874.0102099520846	2.8562652208765162	3813465.1390813757	4327.13699252284	0.6880234457071869
-0.00985	5866128.222073546	1637.3255664586277	1.5208364768450304	1789933.1308047306	3882.4799803495375	1.3766071656979733
-0.01	5851715.13061882	1646.1048549495617	1.505068321498758	1767920.7713231912	3875.900684128329	1.3854727759858934
-0.01015	5844508.584891457	1650.4769870989549	1.4972293844667892	1756996.3173100436	3872.6132760239348	1.3898985348050246
-0.01015	6839011.895267562	857.3608716235152	2.881094995042397	3853631.3806012245	4333.7660313426795	0.6743015385185078
-0.01045	5822888.947709368	1663.5244390472365	1.4738929821801494	1724547.9047070271	3862.7602756169304	1.403147904875411
-0.0106	6853424.986722288	840.381747351513	2.9060870301247785	3894137.2351629655	4340.387504159923	0.6603460543179733
-0.01075	5801269.310527278	1676.4703497740727	1.4508262286919626	1692583.259391511	3852.921115900847	1.4163571056711781
-0.01105	5779649.67334519	1689.3170537337799	1.428027856653683	1661097.8530012134	3843.0958323155423	1.42952815340621
-0.01105	6867838.078177014	823.0524274747806	2.931242438610923	3934985.2493340024	4347.001189437846	0.6461413650663583
-0.0112	5765236.581890463	1697.8275209647275	1.4129775834332539	1640371.7044046652	3836.553513825232	1.4382882327766273
-0.0112	6875044.623904377	814.2494746190526	2.9438813387867357	3955538.0985389743	4350.3049393239735	0.6389404554962721
-0.0115	5743616.944708373	1710.5138307857703	1.390624189669829	1609675.1199289926	3826.7517922401294	1.4513989200702124
-0.0118	5721997.307526285	1723.1067406500354	1.3685361135856402	1579445.6552622868	3816.964341644424	1.4644755681370139
-0.01195	6896664.261086467	787.2502350290055	2.982047219096105	4017719.610234712	4360.204578532975	0.6169145986661498
-0.0121	5700377.670344195	1735.6082835818015	1.3467120837041664	1549678.592400434	3807.1912316734083	1.4775197292222095
